Year,Units,Официальная помощь для развития,Value
2010,млн.долл.США,Данные по Казахстану как получателю,55.49491533621776
2010,млн.долл.США,Данные по Казахстану как обязательства,149.92611332228557
2011,млн.долл.США,Данные по Казахстану как получателю,20.651755987867926
2011,млн.долл.США,Данные по Казахстану как обязательства,189.46354360095475
2012,млн.долл.США,Данные по Казахстану как получателю,33.93309783390989
2012,млн.долл.США,Данные по Казахстану как обязательства,151.68493749266705
2013,млн.долл.США,Данные по Казахстану как получателю,45.839951672282865
2013,млн.долл.США,Данные по Казахстану как донору,0.07013410321214392
2013,млн.долл.США,Данные по Казахстану как обязательства,134.9825684996593
2014,млн.долл.США,Данные по Казахстану как получателю,22.411042767974095
2014,млн.долл.США,Данные по Казахстану как донору,0.16573120981301873
2014,млн.долл.США,Данные по Казахстану как обязательства,267.05463257106754
2015,млн.долл.США,Данные по Казахстану как получателю,15.569792275371153
2015,млн.долл.США,Данные по Казахстану как донору,0.6691161121573223
2015,млн.долл.США,Данные по Казахстану как обязательства,286.88259376963913
2016,млн.долл.США,Данные по Казахстану как получателю,33.60192931055953
2016,млн.долл.США,Данные по Казахстану как донору,1.809081570949797
2016,млн.долл.США,Данные по Казахстану как обязательства,306.60369666494466
2017,млн.долл.США,Данные по Казахстану как получателю,7.553087866331429
2017,млн.долл.США,Данные по Казахстану как донору,0.12537300629136067
2017,млн.долл.США,Данные по Казахстану как обязательства,169.84183213456632
