Value,Number of instances
Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,36
Копирование или перенос файла или папки,36
"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",36
Передача файлов между компьютерами и другими устройствами,36
"Подключение и установка новых устройств (принтер, модем и другие)",36
"Поиск, загрузка и установка программного обеспечения",36
"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",36
Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),36
Разработка компьютерных программ с использованием специального программного языка,36
