Value,kk,en,Number of instances
Бетпакдалинская популяция,Бетпақдала таралымдары,Species from Betpakdalinsk region,1
Уральская популяция,Жайық таралымдары,Species from Ural region,1
Устюртская популяция,Үстірт таралымдары,Species from Usturts region,1
архар,Арқар,Argali (latin: Ovis ammon),2
виды животных,жануарлардың түрлері,Type of animals,1
виды растений,өсімдіктердің түрлері,Type of plants,1
джейран,Қарақұйрық,Goitered gazelle (latin: Gazella subgutturosa),2
кулан,Құлан,Onager (latin Equus hemionus),2
сайгак,сайгак,сайгак,1
тугайный благородный олень,тоғай кермаралы,The Bactrian deer (latin: Cervus elaphus bactrianus),2
