Year,Value,Units
2010,0.00145,100 000 адамға жарақат алғандар
2011,0.00011999999999999999,100 000 адамға жарақат алғандар
2012,0.0002,100 000 адамға жарақат алғандар
2013,0.00011999999999999999,100 000 адамға жарақат алғандар
2014,0.00018999999999999998,100 000 адамға жарақат алғандар
2015,8e-05,100 000 адамға жарақат алғандар
2016,8e-05,100 000 адамға жарақат алғандар
2017,0.00035,100 000 адамға жарақат алғандар
2018,8e-05,100 000 адамға жарақат алғандар
2010,0.00053,100 000 адамға қаза болғандар
2011,5e-05,100 000 адамға қаза болғандар
2012,0.00015,100 000 адамға қаза болғандар
2013,2.9999999999999997e-05,100 000 адамға қаза болғандар
2014,9e-05,100 000 адамға қаза болғандар
2015,0.0,100 000 адамға қаза болғандар
2016,1e-05,100 000 адамға қаза болғандар
2017,0.00011,100 000 адамға қаза болғандар
2018,1e-05,100 000 адамға қаза болғандар
